question,contexts,ground_truth,evolution_type,metadata,episode_done
What should investors consider when buying or selling ETF shares on an exchange?,"['. Buying or selling ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns.Portfolio holdings will change and should not be considered as investment advice or a recommendation to buy, sell or hold any particular security. Please visit www.ark-funds.com for the most current list of holdings for the ARK ETFs.The information herein is general in nature and should not be considered financial, legal or tax advice. An investor should consult a financial professional, an attorney or tax professional regarding the investor’s specific situation. Certain information was obtained from sources that ARK believes to be reliable; however, ARK does not guarantee the accuracy or completeness of any information obtained from any third party. ARK Investment Management LLC is the investment adviser to the ARK ETFs.Foreside Fund Services, LLC, distributor.Disclosures']","Investors should consider that buying or selling ETF shares on an exchange may require the payment of brokerage commissions, and frequent trading may incur brokerage costs that can significantly detract from investment returns.",simple,[{}],True
What factors influence the clinical success probability in drug development?,"['Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of external sources, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.$0$100$200$300$400$500$600$700$800$900$1,000\nLegacyPrecision($ Millions)R&D Cost Per Drug Approval (Including Failures)\n0%5%10%15%20 %25%30%\nLegacyPrecisionProbability Of Clinical SuccessClinical Success Probability Innovative Trial Design+ Single-Cell Biology+ Proteomic Techniques+ Virtual Compound Libraries+ Biomarker Development+ Humanized animal models+ Automated Liquid Handling+ Automated Invivomics+ Automated Microsynthesis+ CRISPR “Perturb-Seq” Screens+ Organ-on-a-chip TechnologyArtificial IntelligenceAutomationFundamental Biology\n+ AI-Enabled Pathway Analysis+ AI-Enabled Toxicity Prediction+ In-Silico Molecular Modeling+ ML-Driven Compound Screens+ Adaptive Clinical Trial Design+ Precision Biomarkers+ Decentralized/Virtual TrialsEfficiency Innovations-48%2.1xWHY INVEST IN DISRUPTIVE INNOVATION?13EVs Have Hit Price-Parity With Internal Combustion Engine VehiclesAs battery costs continue to decline, EV prices should fall, potentially driving exponential growth in unit sales.']","The factors influencing the clinical success probability in drug development include innovative trial design, single-cell biology, proteomic techniques, virtual compound libraries, biomarker development, humanized animal models, automated liquid handling, automated invivomics, automated microsynthesis, CRISPR 'Perturb-Seq' screens, organ-on-a-chip technology, artificial intelligence, and automation.",simple,[{}],True
What are the potential benefits of investing in disruptive innovation?,"['. Autonomy should reduce the cost of taxi, delivery, and surveillance by an order of magnitude, enabling frictionless transport that could increase the velocity of e-commerce and make individual car ownership the exception rather than the rule. These innovations combined with large-scale stationary batteries should cause a transformation in energy, substituting electricity for liquid fuel and pushing generation infrastructure towards the edge of the network. RoboticsCatalyzed by artificial intelligence, Adaptive Robots can operate alongside humans and navigate legacy infrastructure, changing the way products are made and sold. 3D Printing should contribute to the digitization of manufacturing, increasing not only the performance and precision of end-use parts but also the resilience of supply chains. Meanwhile, the world’s fastest robots, Reusable Rockets, should continue to reduce the cost of launching satellite constellations and enable uninterruptible connectivity. A nascent innovation platform, robotics could collapse the cost of distance with hypersonic travel, the cost of manufacturing complexity with 3D printers, and the cost of production with AI-guided robots. WHY INVEST IN DISRUPTIVE INNOVATION?4Converging Technologies Are Generating A Historic Technological Wave']","The potential benefits of investing in disruptive innovation include reduced costs in various sectors such as taxi, delivery, and surveillance, enabling frictionless transport that could enhance e-commerce. Additionally, it could transform energy systems by substituting electricity for liquid fuel, improve manufacturing through 3D printing and adaptive robots, and lower the costs of launching satellite constellations with reusable rockets. Overall, these innovations could lead to increased performance, precision, and resilience in supply chains.",simple,[{}],True
What factors contribute to the healthcare costs over an average patient lifetime?,"['$0.0$0.5$1.0$1.5$2.0$2.5\n1357911131517192123252729313335373941434547495153MillionsAgeSCD Healthcare Costs Over Average Patient LifetimeTherapeuticsOther Costs\n*Quality of Life Years Gained = Health Utility * DurationFor Health Utility, 0 means dead and 1 means full healthData are as of December of 2023.Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of external sources, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.TherapeuticsOther Costs$0.0$0.5$1.0$1.5$2.0$2.5\nCurrent Direct CostQu ality of Life Years GainedNew Therapy CostMillionsReasonable Cost For Sickle Cell Disease Cure\nForecast*WHY INVEST IN DISRUPTIVE INNOVATION?12Drug Development Costs Could Drop PrecipitouslyAdvances in fundamental biology, artificial intelligence, automation, and trial design should lower preclinical drug development costs significantly. They enable methods that eliminate less-promising candidates early in the drug development process, prevent downstream misallocation of R&D capital, and create a larger chemical search space early in the discovery phase. During the next decade, companies leveraging these techniques fully could lower costs per approval by almost 50%, in part by more than doubling the odds of success for those drug candidates that do enter clinical trials.\nSources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of external sources, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.$0$100$200$300$400$500$600$700$800$900$1,000']",nan,simple,[{}],True
What role do adaptive robots play in transforming manufacturing and product sales?,"['. Autonomy should reduce the cost of taxi, delivery, and surveillance by an order of magnitude, enabling frictionless transport that could increase the velocity of e-commerce and make individual car ownership the exception rather than the rule. These innovations combined with large-scale stationary batteries should cause a transformation in energy, substituting electricity for liquid fuel and pushing generation infrastructure towards the edge of the network. RoboticsCatalyzed by artificial intelligence, Adaptive Robots can operate alongside humans and navigate legacy infrastructure, changing the way products are made and sold. 3D Printing should contribute to the digitization of manufacturing, increasing not only the performance and precision of end-use parts but also the resilience of supply chains. Meanwhile, the world’s fastest robots, Reusable Rockets, should continue to reduce the cost of launching satellite constellations and enable uninterruptible connectivity. A nascent innovation platform, robotics could collapse the cost of distance with hypersonic travel, the cost of manufacturing complexity with 3D printers, and the cost of production with AI-guided robots. WHY INVEST IN DISRUPTIVE INNOVATION?4Converging Technologies Are Generating A Historic Technological Wave']","Adaptive Robots, catalyzed by artificial intelligence, can operate alongside humans and navigate legacy infrastructure, changing the way products are made and sold.",simple,[{}],True
What impact does generative AI have on the cost of user-generated content (UGC)?,"[""Post 1997 assumes constant words per employed writer over time$0.10WHY INVEST IN DISRUPTIVE INNOVATION?9\n$0.0016 $0.07 $0.15 $0.23 $1.40 \n $0.001 $0.010 $0.100 $1.000 $10.000Net Monetization Per HourGross Platform Monetization Rates**Text-based AIStreamed AudioVideo GamesStreamed VideoDating AppsOnline Experiences Are Becoming More Immersive And MonetizableHistory suggests that deeper immersion leads to higher monetization. After computer graphics expanded the market beyond text-based adventure games in the 1980s, gaming revenue soared 19% at an annual rate, from $6 billion in 1985 to $24 billion in 1993. Now, multimodal AI—text, images, audio, and video—are creating more immersive and interactive experiences that should expand the market.\n*”Text games” refer to both text-based and spreadsheet-based games. “All other games” exclude arcade game releases. Gaming revenue captures PC and console gaming revenue only **We estimate various platforms’ ability to monetize on direct consumer spend only.. ***Revenue figures have been inflation-adjusted to 2023 US Dollars. Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of underlying data from external sources, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results. $- $5 $10 $15 $20 $25 $30 $35 $40 $45\n0%20%40%60%80%100%1975'77'79'81'83'85'87'89'91'93'95'97'99'01'03'05Gaming Revenue($2023 Billions)***Share Of Games ReleasedVideo Games Evolution*Text Games (LHS)All Other Games (LHS)Gaming Revenue (RHS)$10$1$0.1$0.01$0.001WHY INVEST IN DISRUPTIVE INNOVATION?10\nAtari introduces the Atari 2600.Apple launches the first iPhone.Generative AI lowers the cost of UGC.\n1.E-041.E-031.E-021.E-011.E+001.E+011.E+021.E+03""]",Generative AI lowers the cost of user-generated content (UGC).,simple,[{}],True
What role do Precision Therapies play in transforming cancer care and addressing rare diseases?,"['Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of underlying data from external sources, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.Public BlockchainsUpon large-scale adoption, we believe all money and contracts likely will migrate onto Public Blockchains that enableand verifydigital scarcityand proof of ownership. The financial ecosystem is likely to reconfigure to accommodate the rise of Cryptocurrencies and Smart Contracts. These technologies increase transparency, reduce the influence of capital and regulatory controls, and collapse contract execution costs. In such a world, Digital Wallets would become increasingly necessary as more assets become money-like, and corporations and consumers adapt to the new financial infrastructure. Corporate structures themselves may be called into question. Multiomic SequencingThe cost to gather, sequence, and understand digital biological data is falling precipitously. Multiomic Technologies provide research scientists, therapeutic organizations and health platforms with unprecedented access to DNA, RNA, protein, and digital health data. Cancer care should transform with pan-cancer blood tests. Multiomic data should feed into novel Precision Therapies using emerging gene editing techniques that target and cure rare diseases and chronic conditions. Multiomics shouldunlock entirely new Programmable Biology capabilities, including the design and synthesis of novel biological constructs with applications across industries, particularly agriculture and food production']","The context mentions that multiomic data should feed into novel Precision Therapies using emerging gene editing techniques that target and cure rare diseases and chronic conditions, indicating that Precision Therapies play a significant role in transforming cancer care and addressing rare diseases.",simple,[{}],True
How do coding assistants impact productivity across various knowledge worker levels?,"[""110100\n201920202021202220232024202520262027202820292030Number of YearsExpected Years Until Launch Of A General Artificial Intelligence System(Log Scale) Pre GPT-3 average80 years\nIf forecast error continuesIf forecast is well-tuned34 years18 years8 years50 yearsWHY INVEST IN DISRUPTIVE INNOVATION?6\nPre-ChatGPT AveragePost-ChatGPT Average\n020406080100120140160180\nQ4'21Q1'22Q2 '22Q3'22Q4'22Q1'23Q2 '23Q3'23Number of MentionsThe Number of AI Mentions Tripled On Earnings CallsAlphabetAppleAmazonMetaMicrosoft\n0102030405060708090100\n012345Monthly Active Users(Millions) YearsChatGPT Users Hit 100 Million Users In Two MonthsChatGPTWeChatTikTokInstagramYouTubeFaceBookChatGPT Delighted Consumers And Amazed EnterprisesBuilding on years of progress since Google invented transformer architecture in 2017, ChatGPT catalyzed the public’s understanding of generative AI. No longer a tool just for developers, ChatGPT’s simple chat interface enabled anyone speaking any language to harness the power of large language models (LLMs). In 2023, enterprises scrambled to understand and deploy generative AI.\n*values between 0 and 100 million users are estimatesSources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of data sources, which are available upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.WHY INVEST IN DISRUPTIVE INNOVATION?7AI Already Has Boosted Productivity SignificantlyCoding assistants like GitHub Copilot and Replit AI are early success stories that have boosted the productivity and job satisfaction of software developers. AI-powered assistants are increasing the performance of knowledge workers and, interestingly, benefiting underperforming workers relatively more than high performers. \nWithout Gen AIWith Gen AITask Speed1.25x""]","Coding assistants like GitHub Copilot and Replit AI have boosted the productivity and job satisfaction of software developers. They are increasing the performance of knowledge workers, benefiting underperforming workers relatively more than high performers.",reasoning,[{}],True
What regs help drones cut food delivery costs?,"['0%1%2%3%4%5%6%1993199419951996199719981999200020012002200320042005200620072008200920102011201220132014201520162017201820192020202120222023Percent Of LoansAuto Loan 60+ DelinquencySubprimePrime\n$1.6 T$1.3 TAuto Vehicle Fleet Composition(Trillions Of Dollars)*Mo tor Vehicle Loans Owned And Securitized By BanksMo tor Vehicle Loans On Consumer Balance Sheets (ARK Estimate)WHY INVEST IN DISRUPTIVE INNOVATION?16Boosted during and after COVID, food delivery fees have doubled the average cost of baseline menu orders. Beyond line-of-sight drones without visual observers should reduce food delivery costs dramatically, thanks to recent FAA approvals.Autonomous Drones Should Reduce Food Delivery Costs, Thanks To Regulatory Approvals\nNote: Numbers are rounded. ARK Investment Management LLC, 2024. This ARK analysis is based on a range of underlying data from external sources as of December 7, 2023, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.$24$12$0.35With Line of SightWith Visual ObserverAutonomousDrone Delivery Price(10-mile Trip)~50%~90%$0$2$4$6$8$10$12$14$16$18\nMealApp DeliverySelf PickupDrones(at scale)RollingRobots(at scale)Average Dollars Per OrderFood Delivery Costs (Pre-Tax)MealDelivery Cost']",The recent FAA approvals for beyond line-of-sight drones without visual observers are the regulations that should help reduce food delivery costs dramatically.,reasoning,[{}],True
How do adaptive robots and 3D printing change manufacturing and sales?,"['. Autonomy should reduce the cost of taxi, delivery, and surveillance by an order of magnitude, enabling frictionless transport that could increase the velocity of e-commerce and make individual car ownership the exception rather than the rule. These innovations combined with large-scale stationary batteries should cause a transformation in energy, substituting electricity for liquid fuel and pushing generation infrastructure towards the edge of the network. RoboticsCatalyzed by artificial intelligence, Adaptive Robots can operate alongside humans and navigate legacy infrastructure, changing the way products are made and sold. 3D Printing should contribute to the digitization of manufacturing, increasing not only the performance and precision of end-use parts but also the resilience of supply chains. Meanwhile, the world’s fastest robots, Reusable Rockets, should continue to reduce the cost of launching satellite constellations and enable uninterruptible connectivity. A nascent innovation platform, robotics could collapse the cost of distance with hypersonic travel, the cost of manufacturing complexity with 3D printers, and the cost of production with AI-guided robots. WHY INVEST IN DISRUPTIVE INNOVATION?4Converging Technologies Are Generating A Historic Technological Wave']","Adaptive Robots, catalyzed by artificial intelligence, can operate alongside humans and navigate legacy infrastructure, changing the way products are made and sold. Additionally, 3D Printing contributes to the digitization of manufacturing, increasing the performance and precision of end-use parts and enhancing the resilience of supply chains.",reasoning,[{}],True
